Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1463604535,3.00087,2.40806,-0.32122,1.77676,1.53206,-3.82736,0.258891,2.48789
1463604537,2.37449,2.02526,-0.132399,1.71955,2.08191,-3.05099,0.119356,3.25748
1463604539,3.20988,1.72843,-0.953003,1.77691,2.05966,-2.39484,0.52416,4.57942
1463604541,1.88222,1.54805,-1.00816,1.74121,2.64203,-1.76159,1.44608,3.5292
1463604543,2.37236,1.32713,-0.525415,1.9692,2.16655,-1.67063,1.41337,4.16139
1463604545,2.06563,1.68763,-0.376932,1.4083,3.25374,-0.72687,0.874211,3.70729
1463604547,3.0319,1.00016,-0.715496,1.08041,4.30705,-0.277049,0.668672,3.94452
1463604549,1.81167,1.01368,-0.922533,1.1288,3.81152,-0.270358,0.176886,4.27813
1463604551,1.71788,1.25955,-0.779838,1.37753,4.06996,0.0376345,0.932708,4.87815
1463604553,1.84325,1.4083,-0.938184,1.29815,3.99735,-0.186183,1.02488,4.46008
1463604555,2.01575,1.72867,-0.687332,1.71775,4.15191,-0.108757,1.0939,4.44943
1463604557,1.97527,1.6156,-1.86999,1.92776,3.86685,-0.557738,0.958541,4.29079
1463604559,1.7122,1.65564,-2.85185,1.37967,3.78071,-0.597372,1.87326,4.4511
1463604561,1.85095,1.91794,-1.57845,1.44133,4.29172,-0.00638271,1.268,4.6044
1463604563,2.74631,2.80975,-1.67237,1.61677,4.30777,-0.702109,0.679204,4.60567
1463604565,2.91861,2.88834,-1.1241,1.22929,4.59675,-0.485465,1.14427,4.32126
1463604567,2.58637,2.11561,-1.20673,1.63468,3.98951,-0.735129,0.606358,4.02428
1463604569,2.50084,2.16771,-1.26498,1.56253,3.17874,-1.66247,0.612773,3.78302
1463604571,1.80585,1.64465,-0.841905,1.03041,4.08112,-0.972495,0.49507,3.64898
1463604573,2.75766,1.58028,-1.33866,1.30831,3.97117,-0.72094,0.79204,3.79669
1463604575,2.17489,1.95116,-1.97181,1.05369,3.98607,-0.60988,0.84659,3.51977
1463604577,2.16627,0.8662,-1.98084,1.3841,4.45076,-0.341136,0.383099,3.59239
1463604579,1.55579,0.800767,-1.96649,1.48,4.36946,-0.579194,0.153607,3.62434
1463604581,1.03593,0.939158,-1.70076,1.80951,4.38715,-0.995767,-0.205646,3.11303
1463604583,1.60344,1.28461,-1.77671,1.83039,4.48927,-0.914567,0.672585,2.62031
1463604585,1.16343,1.06975,-1.40554,2.21701,4.62511,-0.66058,1.02042,3.62455
1463604587,1.88004,0.840728,-1.86671,1.84898,4.37557,-0.465599,1.41858,3.26144
1463604589,2.27044,0.827678,-1.32292,1.47082,4.43921,-0.000217556,1.08485,2.7157
1463604591,1.36384,0.97839,-1.76499,0.993545,4.48412,0.099576,0.708314,3.56274
